Event Rate: [0.88, 0.46, 0.30, 0.06, 0.04, 0.04, 0.04, 0.04, 0.05, 0.06, 0.46, 0.55]
Event Rate: [0.91, 0.50, 0.31, 0.07, 0.05, 0.04, 0.04, 0.05, 0.05, 0.06, 0.46, 0.54]
Event Rate: [0.88, 0.47, 0.28, 0.06, 0.05, 0.04, 0.05, 0.05, 0.06, 0.07, 0.48, 0.54]
Event Rate: [0.89, 0.48, 0.29, 0.06, 0.04, 0.04, 0.04, 0.04, 0.05, 0.06, 0.45, 0.54]
Event Rate: [0.89, 0.48, 0.29, 0.06, 0.04, 0.04, 0.04, 0.05, 0.05, 0.07, 0.46, 0.53]
Event Rate: [0.88, 0.47, 0.30, 0.06, 0.04, 0.04, 0.04, 0.04, 0.05, 0.06, 0.43, 0.55]
Event Rate: [0.90, 0.48, 0.30, 0.06, 0.05, 0.04, 0.04, 0.05, 0.06, 0.07, 0.49, 0.55]
Event Rate: [0.86, 0.46, 0.27, 0.06, 0.04, 0.04, 0.04, 0.05, 0.05, 0.06, 0.49, 0.56]
Event Rate: [0.88, 0.47, 0.29, 0.06, 0.05, 0.05, 0.05, 0.06, 0.06, 0.08, 0.49, 0.55]
Event Rate: [0.89, 0.49, 0.30, 0.07, 0.05, 0.05, 0.05, 0.06, 0.07, 0.08, 0.49, 0.55]
Event Rate: [0.90, 0.49, 0.30, 0.06, 0.05, 0.04, 0.04, 0.05, 0.05, 0.06, 0.48, 0.55]
Event Rate: [0.89, 0.45, 0.28, 0.05, 0.03, 0.03, 0.03, 0.03, 0.03, 0.04, 0.37, 0.49]
Event Rate: [0.89, 0.48, 0.29, 0.06, 0.04, 0.04, 0.04, 0.05, 0.05, 0.06, 0.49, 0.55]
Event Rate: [0.86, 0.45, 0.26, 0.06, 0.04, 0.04, 0.05, 0.05, 0.06, 0.07, 0.49, 0.55]
Event Rate: [0.89, 0.47, 0.30, 0.06, 0.05, 0.04, 0.05, 0.05, 0.06, 0.07, 0.49, 0.55]
Event Rate: [0.90, 0.50, 0.29, 0.06, 0.04, 0.04, 0.04, 0.05, 0.05, 0.06, 0.45, 0.54]
Event Rate: [0.88, 0.48, 0.30, 0.07, 0.05, 0.04, 0.05, 0.05, 0.06, 0.07, 0.49, 0.55]
Event Rate: [0.89, 0.49, 0.31, 0.06, 0.05, 0.04, 0.04, 0.05, 0.05, 0.06, 0.42, 0.53]
Event Rate: [0.88, 0.44, 0.28, 0.06, 0.04, 0.04, 0.04, 0.04, 0.05, 0.06, 0.47, 0.55]
