Event Rate: [0.37, 0.15, 0.10, 0.06, 0.06, 0.08, 0.10, 0.11, 0.12, 0.13, 0.48, 0.52]
Event Rate: [0.37, 0.17, 0.11, 0.06, 0.07, 0.08, 0.10, 0.11, 0.13, 0.14, 0.49, 0.52]
Event Rate: [0.24, 0.11, 0.08, 0.05, 0.05, 0.06, 0.08, 0.09, 0.09, 0.11, 0.43, 0.51]
Event Rate: [0.33, 0.16, 0.11, 0.06, 0.07, 0.08, 0.10, 0.11, 0.12, 0.14, 0.47, 0.51]
Event Rate: [0.28, 0.14, 0.10, 0.06, 0.06, 0.08, 0.10, 0.12, 0.13, 0.16, 0.47, 0.47]
Event Rate: [0.41, 0.20, 0.14, 0.08, 0.09, 0.11, 0.14, 0.16, 0.18, 0.21, 0.48, 0.46]
Event Rate: [0.30, 0.14, 0.10, 0.07, 0.08, 0.11, 0.13, 0.16, 0.18, 0.21, 0.44, 0.46]
Event Rate: [0.37, 0.18, 0.12, 0.09, 0.10, 0.13, 0.17, 0.21, 0.22, 0.25, 0.47, 0.47]
Event Rate: [0.39, 0.18, 0.12, 0.08, 0.10, 0.13, 0.18, 0.22, 0.23, 0.27, 0.47, 0.48]
Event Rate: [0.36, 0.17, 0.12, 0.08, 0.09, 0.13, 0.17, 0.21, 0.21, 0.25, 0.44, 0.51]
Event Rate: [0.40, 0.20, 0.13, 0.09, 0.10, 0.13, 0.18, 0.22, 0.23, 0.25, 0.44, 0.52]
Event Rate: [0.30, 0.14, 0.10, 0.07, 0.08, 0.10, 0.14, 0.18, 0.19, 0.20, 0.44, 0.54]
Event Rate: [0.38, 0.18, 0.12, 0.08, 0.09, 0.11, 0.15, 0.20, 0.21, 0.23, 0.49, 0.52]
Event Rate: [0.34, 0.17, 0.12, 0.07, 0.08, 0.11, 0.15, 0.20, 0.21, 0.22, 0.45, 0.51]
Event Rate: [0.41, 0.19, 0.12, 0.07, 0.09, 0.12, 0.17, 0.22, 0.24, 0.26, 0.48, 0.49]
Event Rate: [0.33, 0.16, 0.11, 0.07, 0.08, 0.11, 0.16, 0.21, 0.22, 0.23, 0.47, 0.49]
Event Rate: [0.35, 0.16, 0.10, 0.06, 0.07, 0.10, 0.15, 0.20, 0.21, 0.23, 0.47, 0.49]
Event Rate: [0.34, 0.17, 0.11, 0.06, 0.07, 0.10, 0.14, 0.18, 0.20, 0.21, 0.46, 0.49]
Event Rate: [0.38, 0.18, 0.12, 0.06, 0.07, 0.10, 0.15, 0.20, 0.22, 0.23, 0.49, 0.49]
Event Rate: [0.40, 0.19, 0.12, 0.06, 0.07, 0.10, 0.14, 0.19, 0.21, 0.23, 0.49, 0.50]
Event Rate: [0.38, 0.18, 0.12, 0.06, 0.06, 0.09, 0.13, 0.18, 0.20, 0.22, 0.48, 0.49]
Event Rate: [0.32, 0.14, 0.09, 0.05, 0.06, 0.08, 0.13, 0.18, 0.20, 0.22, 0.46, 0.50]
Event Rate: [0.29, 0.13, 0.08, 0.04, 0.05, 0.08, 0.12, 0.16, 0.17, 0.19, 0.46, 0.51]
Event Rate: [0.38, 0.16, 0.10, 0.05, 0.06, 0.08, 0.12, 0.17, 0.19, 0.21, 0.50, 0.51]
Event Rate: [0.34, 0.14, 0.09, 0.05, 0.05, 0.07, 0.10, 0.14, 0.16, 0.17, 0.46, 0.52]
Event Rate: [0.37, 0.16, 0.10, 0.06, 0.06, 0.08, 0.11, 0.16, 0.18, 0.19, 0.47, 0.52]
Event Rate: [0.45, 0.18, 0.11, 0.05, 0.05, 0.07, 0.12, 0.17, 0.19, 0.21, 0.49, 0.52]
Event Rate: [0.34, 0.14, 0.09, 0.05, 0.05, 0.07, 0.12, 0.16, 0.18, 0.19, 0.48, 0.52]
Event Rate: [0.41, 0.17, 0.10, 0.05, 0.06, 0.08, 0.13, 0.17, 0.19, 0.20, 0.48, 0.51]
Event Rate: [0.39, 0.16, 0.09, 0.05, 0.05, 0.07, 0.11, 0.15, 0.17, 0.18, 0.48, 0.51]
Event Rate: [0.41, 0.17, 0.10, 0.05, 0.05, 0.07, 0.11, 0.16, 0.17, 0.19, 0.50, 0.50]
Event Rate: [0.40, 0.16, 0.10, 0.05, 0.05, 0.07, 0.11, 0.15, 0.17, 0.19, 0.47, 0.49]
Event Rate: [0.41, 0.16, 0.10, 0.05, 0.05, 0.07, 0.11, 0.16, 0.18, 0.20, 0.47, 0.49]
Event Rate: [0.37, 0.14, 0.09, 0.04, 0.05, 0.06, 0.10, 0.14, 0.16, 0.17, 0.48, 0.49]
Event Rate: [0.36, 0.15, 0.10, 0.05, 0.05, 0.07, 0.11, 0.16, 0.17, 0.19, 0.47, 0.48]
Event Rate: [0.38, 0.16, 0.10, 0.05, 0.05, 0.07, 0.11, 0.15, 0.17, 0.19, 0.47, 0.48]
Event Rate: [0.39, 0.17, 0.10, 0.05, 0.05, 0.07, 0.10, 0.14, 0.16, 0.18, 0.50, 0.47]
Event Rate: [0.32, 0.13, 0.08, 0.04, 0.04, 0.06, 0.09, 0.13, 0.14, 0.16, 0.49, 0.47]
Event Rate: [0.32, 0.13, 0.08, 0.04, 0.03, 0.05, 0.08, 0.11, 0.13, 0.14, 0.45, 0.47]
Event Rate: [0.29, 0.12, 0.07, 0.04, 0.04, 0.05, 0.09, 0.13, 0.15, 0.16, 0.46, 0.47]
Event Rate: [0.39, 0.16, 0.09, 0.04, 0.04, 0.06, 0.09, 0.14, 0.15, 0.18, 0.49, 0.47]
Event Rate: [0.36, 0.15, 0.09, 0.04, 0.04, 0.06, 0.09, 0.13, 0.15, 0.17, 0.48, 0.47]
Event Rate: [0.44, 0.18, 0.10, 0.04, 0.04, 0.05, 0.08, 0.12, 0.14, 0.16, 0.49, 0.47]
Event Rate: [0.47, 0.20, 0.12, 0.05, 0.05, 0.06, 0.08, 0.12, 0.14, 0.16, 0.50, 0.46]
Event Rate: [0.43, 0.19, 0.12, 0.06, 0.06, 0.07, 0.10, 0.15, 0.17, 0.19, 0.50, 0.46]
Event Rate: [0.41, 0.17, 0.11, 0.05, 0.05, 0.06, 0.10, 0.14, 0.16, 0.18, 0.49, 0.45]
Event Rate: [0.34, 0.14, 0.09, 0.05, 0.05, 0.06, 0.10, 0.14, 0.16, 0.17, 0.45, 0.45]
Event Rate: [0.41, 0.17, 0.11, 0.05, 0.05, 0.07, 0.11, 0.16, 0.18, 0.20, 0.47, 0.45]
Event Rate: [0.42, 0.18, 0.11, 0.05, 0.05, 0.07, 0.11, 0.16, 0.18, 0.20, 0.47, 0.45]
Event Rate: [0.45, 0.19, 0.11, 0.05, 0.05, 0.06, 0.10, 0.14, 0.16, 0.18, 0.50, 0.45]
Event Rate: [0.44, 0.19, 0.11, 0.05, 0.05, 0.06, 0.09, 0.14, 0.16, 0.17, 0.50, 0.45]
Event Rate: [0.44, 0.18, 0.11, 0.04, 0.04, 0.05, 0.08, 0.12, 0.14, 0.16, 0.50, 0.45]
Event Rate: [0.34, 0.13, 0.08, 0.03, 0.03, 0.04, 0.07, 0.11, 0.12, 0.14, 0.47, 0.45]
Event Rate: [0.30, 0.12, 0.07, 0.03, 0.03, 0.04, 0.07, 0.10, 0.12, 0.13, 0.46, 0.44]
Event Rate: [0.38, 0.16, 0.10, 0.04, 0.04, 0.05, 0.09, 0.12, 0.14, 0.15, 0.48, 0.45]
Event Rate: [0.43, 0.17, 0.10, 0.04, 0.04, 0.05, 0.09, 0.13, 0.14, 0.16, 0.50, 0.45]
