# Train        Test        
    0.005576     0.000010 
    0.008649     0.009794 
    0.041975     0.102215 
    0.078058     0.115578 
    0.134651     0.156796 
    0.157186     0.177421 
    0.163505     0.193658 
    0.200117     0.214064 
    0.212641     0.223937 
    0.216877     0.228218 
    0.222499     0.219678 
    0.230367     0.220792 
    0.229878     0.234275 
    0.224287     0.221551 
    0.214757     0.204542 
    0.219047     0.217221 
    0.227885     0.230915 
    0.219673     0.229629 
    0.205721     0.244054 
    0.231035     0.224766 
    0.239822     0.258251 
    0.248134     0.233593 
    0.241353     0.241432 
    0.221331     0.257640 
    0.258105     0.258071 
    0.272894     0.270887 
    0.274487     0.275863 
    0.297229     0.307853 
    0.306307     0.307300 
    0.314776     0.314611 
    0.316279     0.307016 
    0.325353     0.316032 
    0.328339     0.317885 
    0.330744     0.324395 
    0.323056     0.309004 
    0.320161     0.314106 
    0.313087     0.306535 
    0.298905     0.272257 
    0.299799     0.271915 
    0.303525     0.271288 
    0.295723     0.242661 
    0.280089     0.268531 
    0.264508     0.265642 
    0.282866     0.302396 
    0.297625     0.294391 
    0.301655     0.292736 
    0.313603     0.306099 
    0.306436     0.293970 
    0.325251     0.301144 
    0.332563     0.305121 
    0.339078     0.324169 
    0.350410     0.329371 
    0.350947     0.338456 
    0.352060     0.330745 
    0.357338     0.329296 
    0.362908     0.336657 
    0.351957     0.337169 
    0.357572     0.326621 
    0.335346     0.325535 
    0.316467     0.306586 
    0.328734     0.324066 
    0.289905     0.303365 
    0.278672     0.270107 
    0.301729     0.229474 
    0.295704     0.305467 
    0.318564     0.258487 
    0.288647     0.312464 
    0.318546     0.312630 
    0.322193     0.331996 
    0.341303     0.339041 
    0.354246     0.339041 
    0.365267     0.347180 
    0.368726     0.364878 
    0.380140     0.355720 
    0.375374     0.359500 
    0.371514     0.368174 
    0.378835     0.355007 
    0.375171     0.345282 
    0.370194     0.349684 
    0.368037     0.335558 
    0.362965     0.343497 
    0.351625     0.341363 
    0.355925     0.310173 
    0.345801     0.314626 
    0.335984     0.337277 
    0.328285     0.325605 
    0.351907     0.338956 
    0.328644     0.311198 
    0.353154     0.327779 
    0.347718     0.344191 
    0.367200     0.357935 
    0.377507     0.354517 
    0.384998     0.364010 
    0.386458     0.364583 
    0.388981     0.372166 
    0.392858     0.373516 
    0.397623     0.363790 
    0.399148     0.367870 
    0.394084     0.357511 
    0.392589     0.351629 
    0.391355     0.368295 
    0.373075     0.346391 
    0.357191     0.347102 
    0.370007     0.337441 
    0.361418     0.296869 
    0.331532     0.336136 
    0.353931     0.327146 
    0.338300     0.333144 
    0.342536     0.351588 
    0.351845     0.348537 
    0.369726     0.347560 
    0.371592     0.364997 
    0.385578     0.370268 
    0.394827     0.381479 
    0.404275     0.375441 
    0.408035     0.380690 
    0.420766     0.384825 
    0.414506     0.397059 
    0.421297     0.382303 
    0.411024     0.388790 
    0.407070     0.390165 
    0.404972     0.374408 
    0.396108     0.371232 
    0.403367     0.346032 
    0.385983     0.370547 
    0.386296     0.351048 
    0.369723     0.355940 
    0.377560     0.349772 
    0.376180     0.356891 
    0.359806     0.362625 
    0.370684     0.346917 
    0.374668     0.345625 
    0.376210     0.366520 
    0.385501     0.388111 
    0.398144     0.370947 
    0.401600     0.390794 
    0.408807     0.389196 
    0.418771     0.389347 
    0.423270     0.402535 
    0.420363     0.403027 
    0.424546     0.400109 
    0.420553     0.388946 
    0.419185     0.395565 
    0.418684     0.396268 
    0.408174     0.388282 
    0.395093     0.365662 
    0.401984     0.369794 
    0.347895     0.354651 
    0.346826     0.358045 
    0.387960     0.371820 
    0.392229     0.381553 
    0.390289     0.347498 
    0.393964     0.363879 
    0.391807     0.360689 
    0.396602     0.376848 
    0.401817     0.398539 
    0.411690     0.388865 
    0.421038     0.408538 
    0.425776     0.409104 
    0.419806     0.401692 
    0.433389     0.407334 
    0.437660     0.408958 
    0.431040     0.391642 
    0.431925     0.400991 
    0.434912     0.399949 
    0.422601     0.394295 
    0.410529     0.370492 
    0.403650     0.369364 
    0.388058     0.335276 
    0.395783     0.334415 
    0.372708     0.364593 
    0.382352     0.351391 
    0.367216     0.312667 
    0.380430     0.372479 
    0.379175     0.350411 
    0.389590     0.359870 
    0.403403     0.384944 
    0.412506     0.380515 
    0.415548     0.402956 
    0.427133     0.395161 
    0.434269     0.404287 
    0.432173     0.410201 
    0.442712     0.405030 
    0.435876     0.410379 
    0.438003     0.405552 
    0.432891     0.402729 
    0.432114     0.390686 
    0.423994     0.390727 
    0.420960     0.393444 
    0.411817     0.372412 
    0.405211     0.378082 
    0.404830     0.380523 
    0.413948     0.367866 
    0.412105     0.364342 
    0.413402     0.381892 
    0.415742     0.397646 
    0.397321     0.378858 
    0.429018     0.404627 
    0.427675     0.404853 
    0.434595     0.406764 
    0.442571     0.394997 
    0.441143     0.415052 
    0.445156     0.406582 
    0.442834     0.420513 
    0.457016     0.408751 
    0.446653     0.424574 
    0.428389     0.395451 
    0.435491     0.408922 
    0.443692     0.409454 
    0.428212     0.393829 
    0.431368     0.394556 
    0.420565     0.391579 
    0.411623     0.361606 
    0.398985     0.387238 
    0.396420     0.373729 
    0.407887     0.382188 
    0.401014     0.390468 
    0.417985     0.388000 
    0.416584     0.386221 
    0.423724     0.406413 
    0.438432     0.411844 
    0.431800     0.415909 
    0.445448     0.412006 
    0.442368     0.423012 
    0.446554     0.421969 
    0.451460     0.416709 
    0.451709     0.417374 
    0.452566     0.415151 
    0.452698     0.409336 
    0.448809     0.409932 
    0.443760     0.389413 
    0.428755     0.387039 
    0.425775     0.387639 
    0.413787     0.397283 
    0.429071     0.410911 
    0.421664     0.393146 
    0.420556     0.398497 
    0.419769     0.378816 
    0.403303     0.381298 
    0.428486     0.400238 
    0.434307     0.400584 
    0.436005     0.407300 
    0.443294     0.401902 
    0.449825     0.420212 
    0.449814     0.424712 
    0.452278     0.439436 
    0.456383     0.434106 
    0.452600     0.417228 
    0.459096     0.425365 
    0.459987     0.434363 
    0.448427     0.428722 
    0.449202     0.416075 
    0.442738     0.388493 
    0.440869     0.414571 
    0.417713     0.391379 
    0.414898     0.383174 
    0.406021     0.382867 
    0.411631     0.377401 
    0.403950     0.386837 
    0.411930     0.391047 
    0.419213     0.412734 
    0.429396     0.411949 
    0.431767     0.414851 
    0.434854     0.415857 
    0.436970     0.415044 
    0.453959     0.416128 
    0.448126     0.431903 
    0.452045     0.420108 
    0.453580     0.427703 
    0.455046     0.426707 
    0.455485     0.419313 
    0.448569     0.403865 
    0.458686     0.412545 
    0.451301     0.418516 
    0.439348     0.425328 
    0.430500     0.402612 
    0.434593     0.395161 
    0.430605     0.405362 
    0.427325     0.394249 
    0.424144     0.404646 
    0.431061     0.416062 
    0.439057     0.407514 
    0.421025     0.410815 
    0.437531     0.415576 
    0.447917     0.414713 
    0.440507     0.420864 
    0.458850     0.423703 
    0.461948     0.435499 
    0.462961     0.439487 
    0.455625     0.442747 
    0.454460     0.437246 
    0.461973     0.433148 
    0.456033     0.425556 
    0.454999     0.423971 
    0.455947     0.427390 
    0.449576     0.405853 
    0.433575     0.419290 
    0.439139     0.410724 
    0.436577     0.420158 
    0.426788     0.387083 
