# Train        Test        
  291.465518   198.420593 
  187.132411   193.514221 
  172.005654   169.005981 
  164.340152   148.777740 
  152.931765   146.141449 
  149.087240   152.183258 
  143.537620   136.975418 
  138.746522   136.432053 
  135.903436   133.559509 
  133.627614   138.587540 
  132.546443   134.287750 
  131.617491   130.156921 
  130.291986   132.463928 
  130.963170   129.917480 
  132.284545   129.913925 
  130.227710   128.402359 
  130.373157   129.692535 
  130.481149   128.025803 
  130.848171   131.028854 
  125.958332   124.705353 
  123.684477   125.291893 
  123.686447   125.309967 
  123.572708   120.573692 
  125.664122   122.506531 
  120.042746   126.379364 
  116.623953   116.614601 
  116.316917   114.698769 
  112.428675   110.308144 
  110.595401   115.739189 
  107.810866   107.041397 
  108.273456   109.575554 
  105.699131   103.766960 
  104.779141   107.732132 
  105.709714   100.020599 
  106.047446   105.697456 
  106.366493   109.994232 
  108.237509   108.310951 
  111.591326   111.569519 
  110.786793   105.087547 
  110.143066   115.972885 
  111.941445   115.972916 
  114.735640   118.091408 
  115.964235   116.834366 
  115.169841   114.452232 
  111.968411   108.122490 
  111.898680   118.014999 
  108.984833   107.344017 
  109.859903   108.594864 
  107.546045   100.045593 
  104.478384   104.482620 
  103.281918   105.931061 
  101.944362   109.811218 
  101.263620    94.854156 
  101.172765   100.827293 
  100.767460    98.481880 
  100.449086    97.869698 
  101.581717   104.941017 
  100.286448   100.952835 
  103.851469   105.647423 
  106.937105   109.115799 
  105.968796   102.193954 
  112.475882   118.245674 
  112.697558   110.416122 
  111.075595   116.422028 
  110.902441   108.559792 
  108.870763   104.707207 
  111.921170   106.822701 
  108.478011   104.256897 
  105.784990    98.423264 
  103.555199    99.418251 
  101.067439   104.027908 
   99.114205    94.281593 
   98.409565    99.957359 
   96.337840    92.053986 
   96.335445    89.940331 
   96.682816    92.040031 
   96.479136    97.901840 
   97.164926   100.534355 
   97.455439    96.262474 
   99.224615    98.928284 
   99.540509   103.101631 
  100.973922    97.389381 
   99.918803   103.528023 
  102.629974   101.705025 
  103.253108   103.584526 
  105.222838   107.745132 
  102.260568   103.795906 
  104.675472    99.377266 
  102.066914   103.546768 
  101.927815    96.817337 
   99.933503   102.774414 
   97.700912    93.367561 
   96.117693    97.489357 
   95.564705    92.500473 
   93.027651    94.048233 
   92.767405    93.618378 
   92.453438    89.785309 
   92.282453    91.987846 
   93.226076    92.109238 
   93.503449    98.613785 
   93.794553    94.064827 
   98.524226    97.438484 
  100.272035    96.365616 
   98.880484   103.544647 
  100.154111   109.299316 
  104.429185   100.226288 
  101.169876    95.803642 
  104.396857   102.933350 
  102.169026   103.143692 
  101.612534    99.179207 
   98.215392    98.800423 
   97.160427    97.117172 
   96.098156    94.331482 
   94.056859    93.781319 
   93.360402    95.569183 
   91.336946    90.787964 
   88.943724    88.363365 
   89.304974    92.675545 
   88.745530    87.217285 
   89.699538    96.308304 
   90.482710    92.542152 
   91.124835    91.157089 
   92.380118    92.714294 
