# Train        Test        
    0.004498     0.000000 
    0.003808     0.002739 
    0.019331     0.028346 
    0.056999     0.092297 
    0.077639     0.115300 
    0.123880     0.148506 
    0.129875     0.149596 
    0.159357     0.183124 
    0.169336     0.187932 
    0.185986     0.192400 
    0.190647     0.198571 
    0.187688     0.203493 
    0.191574     0.198749 
    0.191372     0.189891 
    0.188975     0.184058 
    0.189577     0.195064 
    0.181647     0.156559 
    0.145731     0.191030 
    0.182994     0.209597 
    0.194369     0.201767 
    0.182022     0.193473 
    0.195698     0.224767 
    0.130753     0.247668 
    0.180865     0.242002 
    0.207560     0.210960 
    0.231839     0.245118 
    0.250410     0.265196 
    0.265405     0.276687 
    0.276724     0.285134 
    0.285420     0.290780 
    0.296279     0.303139 
    0.298737     0.298131 
    0.304621     0.290700 
    0.306613     0.306547 
    0.297438     0.282340 
    0.298067     0.287948 
    0.306497     0.266567 
    0.267156     0.288453 
    0.268884     0.259638 
    0.264318     0.253127 
    0.256660     0.251423 
    0.221375     0.229274 
    0.265070     0.223185 
    0.262590     0.257999 
    0.277280     0.277931 
    0.268325     0.276500 
    0.291470     0.297209 
    0.290095     0.280422 
    0.298518     0.313462 
    0.314933     0.307237 
    0.323628     0.325839 
    0.335617     0.326102 
    0.339259     0.333281 
    0.335691     0.325265 
    0.332706     0.323561 
    0.340902     0.311156 
    0.312905     0.272488 
    0.311702     0.312776 
    0.315411     0.298981 
    0.308142     0.312120 
    0.303245     0.262523 
    0.256211     0.315119 
    0.298375     0.282330 
    0.247366     0.216658 
    0.244082     0.276856 
    0.275904     0.291195 
    0.285090     0.304205 
    0.301996     0.269003 
    0.313369     0.316303 
    0.330591     0.320156 
    0.327940     0.332726 
    0.335256     0.323132 
    0.359477     0.353092 
    0.360289     0.357921 
    0.371367     0.333629 
    0.365245     0.346772 
    0.364032     0.346387 
    0.363432     0.308470 
    0.356315     0.341400 
    0.346832     0.344629 
    0.341106     0.339167 
    0.326668     0.298515 
    0.299979     0.307691 
    0.302813     0.279815 
    0.313253     0.261618 
    0.316012     0.302519 
    0.299701     0.319383 
    0.311416     0.292605 
    0.308722     0.306235 
    0.340039     0.329507 
    0.340327     0.344720 
    0.362755     0.342351 
    0.365877     0.354642 
    0.376811     0.368347 
    0.376807     0.356955 
    0.386288     0.378675 
    0.385802     0.354538 
    0.392901     0.359358 
    0.383032     0.349818 
    0.382839     0.368336 
    0.369966     0.357400 
    0.366069     0.341612 
    0.356143     0.321819 
    0.320232     0.310834 
    0.350155     0.340059 
    0.319947     0.317962 
    0.340444     0.316798 
    0.355643     0.353681 
    0.358942     0.332560 
    0.334034     0.338777 
    0.362924     0.351886 
    0.375029     0.353364 
    0.371453     0.348625 
    0.397158     0.362409 
    0.393861     0.382501 
    0.403411     0.383842 
    0.407717     0.388609 
    0.407667     0.385269 
    0.414755     0.386274 
    0.406507     0.383013 
    0.408648     0.372917 
    0.403602     0.373558 
    0.381363     0.381391 
    0.395581     0.363581 
    0.384807     0.363607 
    0.375950     0.346137 
    0.355306     0.364945 
    0.355419     0.340417 
    0.324603     0.355266 
    0.333638     0.349228 
    0.338737     0.321856 
    0.343696     0.355157 
    0.375342     0.346772 
    0.388894     0.364825 
    0.395846     0.357486 
    0.397400     0.378414 
    0.408483     0.377193 
    0.412478     0.387341 
    0.421397     0.405979 
    0.419663     0.385691 
    0.420124     0.382645 
    0.414310     0.399592 
    0.394878     0.374272 
    0.398101     0.383729 
    0.396070     0.352869 
    0.382512     0.367821 
    0.357586     0.362727 
    0.326146     0.302812 
    0.320501     0.363360 
    0.371228     0.360975 
