Event Rate: [0.34, 0.13, 0.07, 0.02, 0.03, 0.03, 0.04, 0.05, 0.06, 0.07, 0.46, 0.60]
Event Rate: [0.37, 0.15, 0.09, 0.03, 0.04, 0.04, 0.05, 0.07, 0.07, 0.09, 0.47, 0.60]
Event Rate: [0.42, 0.17, 0.10, 0.03, 0.04, 0.05, 0.06, 0.07, 0.08, 0.09, 0.49, 0.60]
Event Rate: [0.34, 0.14, 0.07, 0.03, 0.03, 0.04, 0.04, 0.06, 0.06, 0.08, 0.45, 0.58]
Event Rate: [0.39, 0.16, 0.09, 0.03, 0.03, 0.04, 0.05, 0.06, 0.07, 0.09, 0.47, 0.58]
Event Rate: [0.44, 0.19, 0.10, 0.04, 0.05, 0.06, 0.07, 0.10, 0.11, 0.14, 0.49, 0.54]
Event Rate: [0.47, 0.19, 0.11, 0.05, 0.06, 0.07, 0.09, 0.12, 0.14, 0.17, 0.48, 0.53]
Event Rate: [0.42, 0.17, 0.10, 0.05, 0.06, 0.08, 0.10, 0.13, 0.15, 0.18, 0.46, 0.53]
Event Rate: [0.43, 0.18, 0.11, 0.05, 0.06, 0.08, 0.10, 0.14, 0.16, 0.18, 0.45, 0.53]
Event Rate: [0.35, 0.14, 0.09, 0.04, 0.05, 0.07, 0.09, 0.12, 0.14, 0.16, 0.40, 0.54]
Event Rate: [0.29, 0.11, 0.07, 0.03, 0.04, 0.05, 0.07, 0.09, 0.11, 0.13, 0.33, 0.55]
Event Rate: [0.39, 0.17, 0.09, 0.04, 0.05, 0.07, 0.09, 0.12, 0.13, 0.16, 0.41, 0.55]
Event Rate: [0.36, 0.15, 0.09, 0.03, 0.04, 0.05, 0.07, 0.09, 0.11, 0.13, 0.47, 0.53]
Event Rate: [0.41, 0.17, 0.09, 0.03, 0.04, 0.05, 0.06, 0.09, 0.10, 0.13, 0.47, 0.55]
Event Rate: [0.37, 0.15, 0.08, 0.03, 0.03, 0.04, 0.05, 0.07, 0.09, 0.11, 0.46, 0.53]
Event Rate: [0.35, 0.14, 0.08, 0.03, 0.04, 0.05, 0.06, 0.09, 0.11, 0.13, 0.42, 0.53]
Event Rate: [0.35, 0.13, 0.07, 0.03, 0.04, 0.05, 0.06, 0.09, 0.11, 0.13, 0.41, 0.54]
Event Rate: [0.42, 0.17, 0.09, 0.04, 0.04, 0.06, 0.07, 0.11, 0.13, 0.15, 0.43, 0.54]
