Epoch 0: Train LR: 0.000979, Test LR: 0.000979, lrf: 0.01
Epoch 1: Train LR: 0.000917, Test LR: 0.000917, lrf: 0.01
Epoch 2: Train LR: 0.000821, Test LR: 0.000821, lrf: 0.01
Epoch 3: Train LR: 0.000697, Test LR: 0.000697, lrf: 0.01
Epoch 4: Train LR: 0.000557, Test LR: 0.000557, lrf: 0.01
Epoch 5: Train LR: 0.000412, Test LR: 0.000412, lrf: 0.01
Epoch 6: Train LR: 0.000276, Test LR: 0.000276, lrf: 0.01
Epoch 7: Train LR: 0.000159, Test LR: 0.000159, lrf: 0.01
Epoch 8: Train LR: 0.000071, Test LR: 0.000071, lrf: 0.01
Epoch 9: Train LR: 0.000021, Test LR: 0.000021, lrf: 0.01
Epoch 10: Train LR: 0.000012, Test LR: 0.000012, lrf: 0.01
Epoch 11: Train LR: 0.000045, Test LR: 0.000045, lrf: 0.01
Epoch 12: Train LR: 0.000117, Test LR: 0.000117, lrf: 0.01
Epoch 13: Train LR: 0.000222, Test LR: 0.000222, lrf: 0.01
Epoch 14: Train LR: 0.000352, Test LR: 0.000352, lrf: 0.01
Epoch 15: Train LR: 0.000495, Test LR: 0.000495, lrf: 0.01
Epoch 16: Train LR: 0.000638, Test LR: 0.000638, lrf: 0.01
Epoch 17: Train LR: 0.000770, Test LR: 0.000770, lrf: 0.01
Epoch 18: Train LR: 0.000880, Test LR: 0.000880, lrf: 0.01
Epoch 19: Train LR: 0.000957, Test LR: 0.000957, lrf: 0.01
Epoch 20: Train LR: 0.000996, Test LR: 0.000996, lrf: 0.01
Epoch 21: Train LR: 0.000993, Test LR: 0.000993, lrf: 0.01
Epoch 22: Train LR: 0.000948, Test LR: 0.000948, lrf: 0.01
Epoch 23: Train LR: 0.000866, Test LR: 0.000866, lrf: 0.01
Epoch 24: Train LR: 0.000753, Test LR: 0.000753, lrf: 0.01
Epoch 25: Train LR: 0.000618, Test LR: 0.000618, lrf: 0.01
