# Train        Test        
  270.186941   228.853271 
  201.161590   169.536728 
  198.341581   215.970001 
  188.446815   197.047699 
  180.316107   166.926926 
  172.183515   191.390854 
  169.689634   177.723633 
  162.569444   164.309341 
  159.324222   176.437668 
  158.177460   180.897781 
  158.108053   164.251846 
  157.291045   124.442123 
  154.236472   146.327240 
  156.661997   153.862915 
  155.187907   170.971573 
  158.139299   174.450943 
  157.544545   133.399902 
  158.852734   154.050598 
  157.338663   144.043793 
  158.883126   167.487808 
  154.770991   173.162704 
  154.187323   155.613266 
  151.655194   151.685944 
  151.421637   141.003281 
  149.535765   176.290726 
