# Train        Test        
    0.006270     0.000005 
    0.007063     0.007571 
    0.010201     0.009813 
    0.028023     0.045796 
    0.075135     0.115563 
    0.101987     0.138826 
    0.135928     0.126341 
    0.152448     0.168541 
    0.163993     0.167755 
    0.171865     0.182815 
    0.177618     0.188035 
    0.178572     0.179387 
    0.176679     0.181779 
    0.177972     0.183871 
    0.177268     0.187281 
    0.175115     0.185416 
    0.172590     0.176958 
    0.176679     0.187398 
    0.172778     0.160349 
    0.172687     0.187582 
    0.191687     0.211060 
    0.197394     0.203212 
    0.197070     0.225953 
    0.198266     0.227299 
    0.229583     0.238503 
    0.228182     0.236489 
    0.241205     0.233983 
    0.247965     0.250712 
    0.252485     0.256884 
    0.273893     0.267939 
    0.280493     0.275208 
    0.291117     0.278430 
    0.287596     0.280348 
    0.284041     0.282366 
    0.281760     0.282702 
    0.286667     0.275924 
    0.276006     0.274179 
    0.263566     0.260021 
    0.266874     0.268621 
    0.263353     0.233708 
    0.261949     0.248205 
    0.233475     0.209643 
    0.239848     0.245597 
    0.259131     0.267761 
    0.262966     0.262453 
    0.271367     0.272921 
    0.286763     0.269482 
    0.294842     0.295158 
    0.306248     0.303906 
    0.318123     0.320241 
    0.331464     0.317731 
    0.340417     0.321554 
    0.341393     0.342337 
    0.345257     0.319369 
    0.350449     0.326464 
    0.345194     0.322984 
    0.343764     0.325939 
    0.343877     0.316397 
    0.331190     0.330071 
    0.312308     0.306879 
    0.322979     0.322342 
    0.313406     0.288491 
    0.311802     0.307529 
    0.312373     0.308730 
    0.302057     0.287044 
    0.296953     0.308726 
    0.305637     0.300288 
    0.316465     0.325469 
    0.315326     0.310125 
    0.334645     0.315121 
    0.340641     0.337013 
    0.353123     0.351870 
    0.359760     0.348206 
    0.365611     0.353797 
    0.366857     0.364552 
    0.383667     0.358948 
    0.374903     0.348924 
    0.377820     0.350066 
    0.364520     0.353318 
    0.367680     0.343291 
    0.364518     0.346589 
    0.344333     0.327098 
    0.357200     0.342410 
    0.347785     0.331099 
    0.338687     0.338327 
    0.334951     0.325667 
    0.327323     0.328876 
    0.340206     0.328285 
    0.341279     0.340914 
    0.358166     0.335388 
    0.357648     0.342663 
    0.365890     0.342905 
    0.382412     0.370461 
    0.373735     0.370855 
    0.393097     0.367920 
    0.397907     0.372933 
    0.390336     0.365728 
    0.397987     0.364024 
    0.397963     0.375802 
    0.394181     0.369106 
    0.396580     0.361519 
    0.383223     0.361928 
    0.385172     0.361776 
    0.371044     0.356932 
    0.364129     0.343999 
    0.360773     0.348410 
    0.368929     0.347651 
    0.354272     0.358002 
    0.358714     0.351984 
    0.356998     0.324112 
    0.358230     0.350856 
    0.367699     0.360832 
    0.386227     0.369213 
    0.393679     0.375475 
    0.394704     0.371689 
    0.400720     0.384885 
    0.418798     0.391030 
    0.404510     0.380870 
    0.407393     0.389699 
    0.402549     0.383001 
    0.399873     0.382006 
    0.399108     0.379770 
    0.404771     0.371762 
    0.390001     0.381394 
    0.388193     0.355062 
    0.383427     0.367860 
    0.376223     0.358130 
    0.375960     0.341672 
    0.367726     0.334864 
    0.365918     0.358332 
    0.375279     0.369466 
    0.381871     0.370237 
    0.390890     0.377826 
    0.393126     0.376525 
    0.398022     0.370356 
    0.405466     0.382620 
    0.411106     0.400702 
    0.412391     0.389924 
    0.416086     0.403848 
    0.422044     0.408560 
    0.425558     0.401320 
    0.417113     0.396304 
    0.414318     0.399622 
    0.416488     0.396122 
    0.419011     0.385073 
    0.402350     0.381690 
    0.393799     0.373442 
    0.392979     0.387177 
    0.383346     0.380208 
    0.393197     0.371836 
    0.383110     0.365313 
    0.383731     0.368205 
