Event Rate: [0.88, 0.52, 0.36, 0.14, 0.13, 0.13, 0.14, 0.15, 0.15, 0.17, 0.50, 0.50]
Event Rate: [0.88, 0.51, 0.36, 0.13, 0.13, 0.13, 0.14, 0.15, 0.15, 0.17, 0.50, 0.50]
Event Rate: [0.89, 0.53, 0.37, 0.15, 0.14, 0.14, 0.14, 0.15, 0.16, 0.17, 0.50, 0.50]
Event Rate: [0.88, 0.52, 0.36, 0.14, 0.13, 0.13, 0.14, 0.15, 0.15, 0.17, 0.50, 0.50]
Event Rate: [0.88, 0.51, 0.35, 0.13, 0.13, 0.13, 0.13, 0.14, 0.15, 0.16, 0.50, 0.49]
Event Rate: [0.88, 0.51, 0.36, 0.14, 0.13, 0.13, 0.14, 0.15, 0.15, 0.17, 0.50, 0.50]
Event Rate: [0.88, 0.52, 0.36, 0.14, 0.14, 0.14, 0.14, 0.15, 0.16, 0.17, 0.50, 0.50]
Event Rate: [0.89, 0.53, 0.37, 0.15, 0.14, 0.14, 0.14, 0.15, 0.16, 0.17, 0.50, 0.50]
Event Rate: [0.89, 0.53, 0.37, 0.15, 0.15, 0.15, 0.16, 0.17, 0.18, 0.19, 0.50, 0.50]
Event Rate: [0.88, 0.51, 0.36, 0.15, 0.14, 0.14, 0.15, 0.16, 0.17, 0.19, 0.50, 0.51]
Event Rate: [0.88, 0.51, 0.36, 0.15, 0.14, 0.14, 0.15, 0.17, 0.18, 0.20, 0.50, 0.51]
Event Rate: [0.88, 0.51, 0.36, 0.15, 0.15, 0.16, 0.17, 0.19, 0.20, 0.22, 0.50, 0.50]
Event Rate: [0.89, 0.53, 0.37, 0.16, 0.15, 0.16, 0.17, 0.18, 0.19, 0.21, 0.50, 0.51]
Event Rate: [0.89, 0.52, 0.37, 0.17, 0.17, 0.17, 0.19, 0.21, 0.22, 0.24, 0.50, 0.50]
Event Rate: [0.89, 0.46, 0.28, 0.09, 0.08, 0.08, 0.09, 0.10, 0.10, 0.12, 0.50, 0.55]
Event Rate: [0.88, 0.44, 0.28, 0.08, 0.08, 0.08, 0.09, 0.10, 0.11, 0.12, 0.50, 0.55]
Event Rate: [0.88, 0.46, 0.28, 0.08, 0.08, 0.08, 0.09, 0.10, 0.11, 0.12, 0.50, 0.56]
Event Rate: [0.88, 0.45, 0.28, 0.08, 0.08, 0.08, 0.09, 0.10, 0.11, 0.12, 0.50, 0.55]
Event Rate: [0.89, 0.46, 0.28, 0.09, 0.08, 0.08, 0.09, 0.10, 0.10, 0.12, 0.50, 0.55]
Event Rate: [0.88, 0.44, 0.28, 0.08, 0.07, 0.08, 0.08, 0.09, 0.10, 0.12, 0.50, 0.55]
Event Rate: [0.89, 0.46, 0.29, 0.09, 0.08, 0.08, 0.09, 0.10, 0.10, 0.12, 0.50, 0.55]
Event Rate: [0.88, 0.46, 0.28, 0.09, 0.08, 0.08, 0.09, 0.11, 0.11, 0.13, 0.50, 0.54]
Event Rate: [0.89, 0.45, 0.28, 0.08, 0.07, 0.07, 0.08, 0.10, 0.10, 0.12, 0.50, 0.54]
Event Rate: [0.87, 0.44, 0.28, 0.08, 0.08, 0.08, 0.09, 0.10, 0.11, 0.13, 0.50, 0.55]
Event Rate: [0.89, 0.46, 0.29, 0.09, 0.09, 0.09, 0.10, 0.12, 0.13, 0.15, 0.50, 0.55]
Event Rate: [0.88, 0.45, 0.28, 0.09, 0.09, 0.09, 0.11, 0.13, 0.14, 0.16, 0.50, 0.55]
Event Rate: [0.88, 0.45, 0.28, 0.09, 0.09, 0.10, 0.11, 0.14, 0.15, 0.17, 0.50, 0.54]
Event Rate: [0.89, 0.47, 0.29, 0.09, 0.10, 0.11, 0.12, 0.15, 0.16, 0.19, 0.50, 0.54]
Event Rate: [0.89, 0.46, 0.29, 0.10, 0.10, 0.11, 0.13, 0.15, 0.17, 0.20, 0.50, 0.53]
Event Rate: [0.89, 0.45, 0.29, 0.10, 0.11, 0.12, 0.14, 0.18, 0.20, 0.23, 0.50, 0.52]
Event Rate: [0.89, 0.46, 0.29, 0.10, 0.11, 0.12, 0.15, 0.19, 0.20, 0.24, 0.50, 0.52]
Event Rate: [0.88, 0.45, 0.29, 0.10, 0.11, 0.13, 0.16, 0.20, 0.22, 0.27, 0.50, 0.51]
Event Rate: [0.88, 0.45, 0.29, 0.11, 0.12, 0.14, 0.17, 0.22, 0.24, 0.29, 0.50, 0.51]
Event Rate: [0.88, 0.45, 0.29, 0.11, 0.12, 0.14, 0.18, 0.23, 0.26, 0.31, 0.50, 0.51]
Event Rate: [0.89, 0.46, 0.29, 0.11, 0.13, 0.16, 0.20, 0.25, 0.28, 0.33, 0.50, 0.51]
Event Rate: [0.89, 0.45, 0.29, 0.11, 0.13, 0.16, 0.20, 0.26, 0.29, 0.34, 0.50, 0.51]
Event Rate: [0.88, 0.45, 0.30, 0.12, 0.14, 0.17, 0.22, 0.28, 0.31, 0.37, 0.50, 0.51]
Event Rate: [0.89, 0.47, 0.30, 0.12, 0.15, 0.18, 0.23, 0.30, 0.33, 0.39, 0.50, 0.51]
Event Rate: [0.89, 0.46, 0.31, 0.14, 0.16, 0.20, 0.25, 0.32, 0.35, 0.41, 0.50, 0.50]
Event Rate: [0.88, 0.46, 0.31, 0.13, 0.16, 0.20, 0.25, 0.32, 0.35, 0.40, 0.50, 0.51]
