# Train        Test        
    0.004625     0.005564 
    0.000170     0.000000 
    0.004371     0.051013 
    0.030339     0.046231 
    0.039145     0.060981 
    0.037380     0.015532 
    0.051537     0.051795 
    0.077415     0.088291 
    0.089560     0.088666 
    0.091916     0.094366 
    0.087279     0.096091 
    0.092950     0.093763 
    0.094626     0.090323 
    0.098421     0.111335 
    0.110087     0.103828 
    0.115491     0.129322 
    0.111029     0.100941 
    0.033185     0.054063 
    0.025816     0.092231 
    0.107604     0.137606 
    0.134180     0.139673 
    0.131029     0.112975 
    0.129099     0.141787 
    0.150107     0.158660 
    0.149564     0.175616 
    0.175343     0.182283 
    0.181643     0.197216 
    0.202064     0.214929 
    0.202074     0.218103 
    0.208854     0.209185 
    0.219901     0.220498 
    0.217350     0.217416 
    0.221784     0.222939 
    0.219804     0.218052 
    0.211662     0.212936 
    0.221028     0.231310 
    0.219710     0.189024 
    0.218802     0.237470 
    0.211945     0.217051 
    0.219251     0.197579 
    0.225617     0.207130 
    0.219542     0.210415 
    0.230259     0.219733 
    0.228508     0.230695 
    0.212477     0.217811 
    0.245163     0.246521 
    0.250591     0.248261 
    0.253072     0.254332 
    0.263981     0.273555 
    0.270102     0.279607 
    0.268222     0.284604 
    0.279900     0.283957 
    0.280915     0.280454 
    0.280494     0.286178 
    0.283321     0.290842 
    0.274407     0.279868 
    0.279387     0.290940 
    0.278537     0.292177 
    0.272198     0.279943 
    0.274418     0.283636 
    0.269082     0.294401 
    0.265972     0.282400 
    0.268756     0.256903 
    0.261679     0.268220 
    0.276329     0.264216 
    0.267038     0.266659 
    0.269137     0.291644 
    0.257646     0.289117 
    0.290122     0.297115 
    0.292860     0.291896 
    0.305570     0.301095 
    0.311709     0.318941 
    0.312014     0.306144 
    0.311585     0.314419 
    0.314701     0.321514 
    0.316557     0.312959 
    0.314397     0.301609 
    0.314186     0.317724 
    0.313093     0.313684 
    0.306343     0.292267 
    0.301757     0.288899 
    0.300007     0.296669 
    0.291870     0.312117 
    0.290222     0.294973 
    0.293655     0.291899 
    0.302257     0.305874 
    0.288448     0.290760 
    0.300823     0.301966 
    0.305285     0.320023 
    0.308934     0.303837 
    0.316980     0.305169 
    0.322903     0.326350 
    0.331290     0.327868 
    0.327800     0.341110 
    0.337168     0.325906 
    0.331435     0.334815 
    0.334358     0.328020 
    0.343067     0.327106 
    0.341776     0.329142 
    0.336203     0.339119 
    0.335211     0.310902 
    0.326923     0.325782 
    0.330232     0.330924 
    0.330768     0.340611 
    0.328482     0.339682 
    0.335527     0.331530 
    0.332523     0.331768 
    0.338277     0.324656 
    0.337437     0.330482 
    0.335619     0.329625 
    0.337237     0.329679 
    0.332662     0.334667 
    0.334935     0.341508 
    0.334472     0.334280 
    0.333065     0.338712 
    0.337142     0.329369 
    0.333789     0.328148 
    0.335771     0.326433 
    0.330783     0.331810 
    0.335513     0.331771 
    0.330653     0.326510 
    0.329499     0.340867 
    0.338389     0.323523 
    0.332978     0.331334 
    0.330327     0.330464 
    0.333228     0.327636 
    0.334366     0.331393 
    0.328987     0.331997 
    0.335472     0.329197 
    0.332847     0.335069 
    0.328792     0.321243 
    0.329494     0.330324 
    0.340121     0.337116 
    0.336284     0.328736 
    0.331247     0.324292 
    0.326821     0.324379 
    0.333296     0.321369 
    0.330304     0.331469 
    0.334623     0.330009 
    0.337151     0.331787 
