# Train        Test        
  795.112636   614.467285 
  587.238203   571.833740 
  570.916840   555.321167 
  567.063420   593.575195 
  562.553170   556.961304 
  560.978814   558.542542 
  559.023222   542.801270 
  547.443481   544.992554 
  546.365441   556.695129 
  542.131014   539.095459 
  541.784319   528.560547 
  540.508244   529.797424 
  541.273145   537.258728 
  540.257200   535.999451 
  539.267881   546.647522 
  540.871970   541.978760 
  538.572987   550.834717 
  544.883652   483.689392 
  483.353445   384.623718 
  354.619783   367.827759 
  343.126850   348.073273 
  336.468580   325.625122 
  325.387062   323.705261 
  323.544556   315.546326 
  316.720348   301.208405 
  301.967943   302.265991 
  295.121805   302.470520 
  287.424453   283.270569 
  284.410354   285.251526 
  283.539197   291.454987 
  281.384989   274.253235 
  279.203948   276.756866 
  280.023744   293.562164 
  279.060472   278.469818 
  279.954140   286.719086 
  275.505487   274.311890 
  277.339470   270.972839 
  277.303568   289.322357 
  280.127251   274.529144 
  276.146075   269.772675 
  275.803659   285.724762 
  279.575771   272.184753 
  276.230263   281.390839 
  271.758989   274.373688 
  273.798880   265.336121 
  265.466451   265.502930 
  261.244197   267.618317 
  258.025258   267.376740 
  256.588364   256.132568 
  253.219538   253.110947 
  250.418043   260.040894 
  246.906434   253.987289 
  244.678121   239.342850 
  243.730271   233.992981 
  243.165332   243.610687 
  245.007967   248.010757 
  245.709530   251.984314 
  244.138343   229.239807 
  247.960810   252.379547 
  249.283528   240.284775 
  248.528443   254.594421 
  249.318786   238.964294 
  247.587447   239.946564 
  252.288798   256.418304 
  243.404428   251.566513 
  243.347370   248.786331 
  243.809619   240.124069 
  251.767903   251.800812 
  236.676354   231.331146 
  232.403425   226.817596 
  226.091860   221.281921 
  226.599372   236.996338 
  222.537989   217.735397 
  223.482607   226.583755 
  221.938383   225.150223 
  221.317464   227.301529 
  221.348701   220.718491 
  221.387816   222.344574 
  222.284509   231.228851 
  224.701728   244.039825 
  226.195953   238.275421 
  226.759269   219.780411 
  231.453095   231.191452 
  228.644984   228.896484 
  231.350346   233.689011 
  228.424929   238.399017 
  236.309280   225.150665 
  230.340799   222.153198 
  224.437018   227.223114 
  223.298191   229.891296 
  218.232360   229.736908 
  216.022078   208.259430 
  214.184038   214.163605 
  212.519307   212.351257 
  209.540108   215.635101 
  208.893107   207.812286 
  206.793255   211.111740 
  206.887440   204.072311 
  208.184874   216.834091 
  210.092887   202.568893 
  210.190183   225.777832 
  211.741728   214.562027 
  213.810520   214.370926 
  211.981903   210.517731 
  216.550002   222.021851 
  214.216485   217.812836 
  215.219551   222.409836 
  215.043440   209.155426 
  216.210265   214.604156 
  215.082070   210.732925 
  215.928044   208.857559 
  215.560871   216.386307 
  215.735061   220.555359 
  215.864317   221.136353 
  215.328565   216.137695 
  215.236162   217.587708 
  214.493566   214.524567 
  214.800178   213.577499 
  216.310748   212.145706 
  216.432024   216.528214 
  216.925770   216.637741 
  216.724220   211.934189 
  215.991807   214.065582 
  214.875140   211.763351 
  216.934227   222.272156 
  216.145583   221.861816 
  214.440789   208.285461 
  216.145642   219.342575 
  215.726770   212.676697 
  215.893890   216.486679 
  217.594113   214.681213 
  217.749477   220.271210 
  213.239759   206.845413 
  213.777289   221.646500 
  217.273327   218.165085 
  216.099973   215.582565 
  216.156442   220.378235 
  217.825068   218.968826 
  213.969136   207.327362 
  213.993527   221.650543 
