Epoch 0: Train LR: 0.000979, Test LR: 0.000979, lrf: 0.01
Epoch 1: Train LR: 0.000917, Test LR: 0.000917, lrf: 0.01
Epoch 2: Train LR: 0.000821, Test LR: 0.000821, lrf: 0.01
Epoch 3: Train LR: 0.000697, Test LR: 0.000697, lrf: 0.01
Epoch 4: Train LR: 0.000557, Test LR: 0.000557, lrf: 0.01
Epoch 5: Train LR: 0.000412, Test LR: 0.000412, lrf: 0.01
Epoch 6: Train LR: 0.000276, Test LR: 0.000276, lrf: 0.01
Epoch 7: Train LR: 0.000159, Test LR: 0.000159, lrf: 0.01
Epoch 8: Train LR: 0.000071, Test LR: 0.000071, lrf: 0.01
Epoch 9: Train LR: 0.000021, Test LR: 0.000021, lrf: 0.01
Epoch 10: Train LR: 0.000012, Test LR: 0.000012, lrf: 0.01
Epoch 11: Train LR: 0.000045, Test LR: 0.000045, lrf: 0.01
Epoch 12: Train LR: 0.000117, Test LR: 0.000117, lrf: 0.01
Epoch 13: Train LR: 0.000222, Test LR: 0.000222, lrf: 0.01
Epoch 14: Train LR: 0.000352, Test LR: 0.000352, lrf: 0.01
Epoch 15: Train LR: 0.000495, Test LR: 0.000495, lrf: 0.01
Epoch 16: Train LR: 0.000638, Test LR: 0.000638, lrf: 0.01
Epoch 17: Train LR: 0.000770, Test LR: 0.000770, lrf: 0.01
Epoch 18: Train LR: 0.000880, Test LR: 0.000880, lrf: 0.01
Epoch 19: Train LR: 0.000957, Test LR: 0.000957, lrf: 0.01
Epoch 20: Train LR: 0.000996, Test LR: 0.000996, lrf: 0.01
Epoch 21: Train LR: 0.000993, Test LR: 0.000993, lrf: 0.01
Epoch 22: Train LR: 0.000948, Test LR: 0.000948, lrf: 0.01
Epoch 23: Train LR: 0.000866, Test LR: 0.000866, lrf: 0.01
Epoch 24: Train LR: 0.000753, Test LR: 0.000753, lrf: 0.01
Epoch 25: Train LR: 0.000618, Test LR: 0.000618, lrf: 0.01
Epoch 26: Train LR: 0.000474, Test LR: 0.000474, lrf: 0.01
Epoch 27: Train LR: 0.000332, Test LR: 0.000332, lrf: 0.01
Epoch 28: Train LR: 0.000206, Test LR: 0.000206, lrf: 0.01
Epoch 29: Train LR: 0.000105, Test LR: 0.000105, lrf: 0.01
Epoch 30: Train LR: 0.000038, Test LR: 0.000038, lrf: 0.01
Epoch 31: Train LR: 0.000010, Test LR: 0.000010, lrf: 0.01
Epoch 32: Train LR: 0.000026, Test LR: 0.000026, lrf: 0.01
Epoch 33: Train LR: 0.000082, Test LR: 0.000082, lrf: 0.01
Epoch 34: Train LR: 0.000174, Test LR: 0.000174, lrf: 0.01
Epoch 35: Train LR: 0.000294, Test LR: 0.000294, lrf: 0.01
Epoch 36: Train LR: 0.000433, Test LR: 0.000433, lrf: 0.01
Epoch 37: Train LR: 0.000577, Test LR: 0.000577, lrf: 0.01
Epoch 38: Train LR: 0.000716, Test LR: 0.000716, lrf: 0.01
Epoch 39: Train LR: 0.000836, Test LR: 0.000836, lrf: 0.01
Epoch 40: Train LR: 0.000928, Test LR: 0.000928, lrf: 0.01
Epoch 41: Train LR: 0.000984, Test LR: 0.000984, lrf: 0.01
Epoch 42: Train LR: 0.001000, Test LR: 0.001000, lrf: 0.01
Epoch 43: Train LR: 0.000972, Test LR: 0.000972, lrf: 0.01
Epoch 44: Train LR: 0.000905, Test LR: 0.000905, lrf: 0.01
Epoch 45: Train LR: 0.000804, Test LR: 0.000804, lrf: 0.01
Epoch 46: Train LR: 0.000678, Test LR: 0.000678, lrf: 0.01
Epoch 47: Train LR: 0.000536, Test LR: 0.000536, lrf: 0.01
Epoch 48: Train LR: 0.000392, Test LR: 0.000392, lrf: 0.01
Epoch 49: Train LR: 0.000258, Test LR: 0.000258, lrf: 0.01
Epoch 50: Train LR: 0.000144, Test LR: 0.000144, lrf: 0.01
Epoch 51: Train LR: 0.000062, Test LR: 0.000062, lrf: 0.01
Epoch 52: Train LR: 0.000017, Test LR: 0.000017, lrf: 0.01
Epoch 53: Train LR: 0.000014, Test LR: 0.000014, lrf: 0.01
Epoch 54: Train LR: 0.000053, Test LR: 0.000053, lrf: 0.01
Epoch 55: Train LR: 0.000130, Test LR: 0.000130, lrf: 0.01
Epoch 56: Train LR: 0.000240, Test LR: 0.000240, lrf: 0.01
Epoch 57: Train LR: 0.000372, Test LR: 0.000372, lrf: 0.01
Epoch 58: Train LR: 0.000515, Test LR: 0.000515, lrf: 0.01
Epoch 59: Train LR: 0.000658, Test LR: 0.000658, lrf: 0.01
Epoch 60: Train LR: 0.000788, Test LR: 0.000788, lrf: 0.01
Epoch 61: Train LR: 0.000893, Test LR: 0.000893, lrf: 0.01
Epoch 62: Train LR: 0.000965, Test LR: 0.000965, lrf: 0.01
Epoch 63: Train LR: 0.000998, Test LR: 0.000998, lrf: 0.01
Epoch 64: Train LR: 0.000989, Test LR: 0.000989, lrf: 0.01
Epoch 65: Train LR: 0.000939, Test LR: 0.000939, lrf: 0.01
Epoch 66: Train LR: 0.000851, Test LR: 0.000851, lrf: 0.01
Epoch 67: Train LR: 0.000734, Test LR: 0.000734, lrf: 0.01
Epoch 68: Train LR: 0.000598, Test LR: 0.000598, lrf: 0.01
Epoch 69: Train LR: 0.000453, Test LR: 0.000453, lrf: 0.01
Epoch 70: Train LR: 0.000313, Test LR: 0.000313, lrf: 0.01
Epoch 71: Train LR: 0.000189, Test LR: 0.000189, lrf: 0.01
Epoch 72: Train LR: 0.000093, Test LR: 0.000093, lrf: 0.01
Epoch 73: Train LR: 0.000031, Test LR: 0.000031, lrf: 0.01
Epoch 74: Train LR: 0.000010, Test LR: 0.000010, lrf: 0.01
Epoch 75: Train LR: 0.000031, Test LR: 0.000031, lrf: 0.01
Epoch 76: Train LR: 0.000093, Test LR: 0.000093, lrf: 0.01
Epoch 77: Train LR: 0.000189, Test LR: 0.000189, lrf: 0.01
Epoch 78: Train LR: 0.000313, Test LR: 0.000313, lrf: 0.01
Epoch 79: Train LR: 0.000453, Test LR: 0.000453, lrf: 0.01
Epoch 80: Train LR: 0.000598, Test LR: 0.000598, lrf: 0.01
Epoch 81: Train LR: 0.000734, Test LR: 0.000734, lrf: 0.01
Epoch 82: Train LR: 0.000851, Test LR: 0.000851, lrf: 0.01
Epoch 83: Train LR: 0.000939, Test LR: 0.000939, lrf: 0.01
Epoch 84: Train LR: 0.000989, Test LR: 0.000989, lrf: 0.01
Epoch 85: Train LR: 0.000998, Test LR: 0.000998, lrf: 0.01
Epoch 86: Train LR: 0.000965, Test LR: 0.000965, lrf: 0.01
Epoch 87: Train LR: 0.000893, Test LR: 0.000893, lrf: 0.01
Epoch 88: Train LR: 0.000788, Test LR: 0.000788, lrf: 0.01
Epoch 89: Train LR: 0.000658, Test LR: 0.000658, lrf: 0.01
Epoch 90: Train LR: 0.000515, Test LR: 0.000515, lrf: 0.01
Epoch 91: Train LR: 0.000372, Test LR: 0.000372, lrf: 0.01
Epoch 92: Train LR: 0.000240, Test LR: 0.000240, lrf: 0.01
Epoch 93: Train LR: 0.000130, Test LR: 0.000130, lrf: 0.01
Epoch 94: Train LR: 0.000053, Test LR: 0.000053, lrf: 0.01
Epoch 95: Train LR: 0.000014, Test LR: 0.000014, lrf: 0.01
Epoch 96: Train LR: 0.000017, Test LR: 0.000017, lrf: 0.01
Epoch 97: Train LR: 0.000062, Test LR: 0.000062, lrf: 0.01
Epoch 98: Train LR: 0.000144, Test LR: 0.000144, lrf: 0.01
Epoch 99: Train LR: 0.000257, Test LR: 0.000257, lrf: 0.01
Epoch 100: Train LR: 0.000392, Test LR: 0.000392, lrf: 0.01
Epoch 101: Train LR: 0.000536, Test LR: 0.000536, lrf: 0.01
Epoch 102: Train LR: 0.000678, Test LR: 0.000678, lrf: 0.01
Epoch 103: Train LR: 0.000804, Test LR: 0.000804, lrf: 0.01
Epoch 104: Train LR: 0.000905, Test LR: 0.000905, lrf: 0.01
Epoch 105: Train LR: 0.000972, Test LR: 0.000972, lrf: 0.01
Epoch 106: Train LR: 0.001000, Test LR: 0.001000, lrf: 0.01
Epoch 107: Train LR: 0.000984, Test LR: 0.000984, lrf: 0.01
Epoch 108: Train LR: 0.000928, Test LR: 0.000928, lrf: 0.01
Epoch 109: Train LR: 0.000836, Test LR: 0.000836, lrf: 0.01
Epoch 110: Train LR: 0.000716, Test LR: 0.000716, lrf: 0.01
Epoch 111: Train LR: 0.000577, Test LR: 0.000577, lrf: 0.01
Epoch 112: Train LR: 0.000433, Test LR: 0.000433, lrf: 0.01
Epoch 113: Train LR: 0.000294, Test LR: 0.000294, lrf: 0.01
Epoch 114: Train LR: 0.000174, Test LR: 0.000174, lrf: 0.01
Epoch 115: Train LR: 0.000082, Test LR: 0.000082, lrf: 0.01
Epoch 116: Train LR: 0.000026, Test LR: 0.000026, lrf: 0.01
Epoch 117: Train LR: 0.000010, Test LR: 0.000010, lrf: 0.01
Epoch 118: Train LR: 0.000038, Test LR: 0.000038, lrf: 0.01
Epoch 119: Train LR: 0.000105, Test LR: 0.000105, lrf: 0.01
Epoch 120: Train LR: 0.000206, Test LR: 0.000206, lrf: 0.01
Epoch 121: Train LR: 0.000332, Test LR: 0.000332, lrf: 0.01
Epoch 122: Train LR: 0.000474, Test LR: 0.000474, lrf: 0.01
Epoch 123: Train LR: 0.000618, Test LR: 0.000618, lrf: 0.01
Epoch 124: Train LR: 0.000752, Test LR: 0.000752, lrf: 0.01
Epoch 125: Train LR: 0.000866, Test LR: 0.000866, lrf: 0.01
Epoch 126: Train LR: 0.000948, Test LR: 0.000948, lrf: 0.01
Epoch 127: Train LR: 0.000993, Test LR: 0.000993, lrf: 0.01
Epoch 128: Train LR: 0.000996, Test LR: 0.000996, lrf: 0.01
Epoch 129: Train LR: 0.000957, Test LR: 0.000957, lrf: 0.01
Epoch 130: Train LR: 0.000880, Test LR: 0.000880, lrf: 0.01
Epoch 131: Train LR: 0.000770, Test LR: 0.000770, lrf: 0.01
Epoch 132: Train LR: 0.000638, Test LR: 0.000638, lrf: 0.01
Epoch 133: Train LR: 0.000495, Test LR: 0.000495, lrf: 0.01
Epoch 134: Train LR: 0.000352, Test LR: 0.000352, lrf: 0.01
Epoch 135: Train LR: 0.000222, Test LR: 0.000222, lrf: 0.01
Epoch 136: Train LR: 0.000117, Test LR: 0.000117, lrf: 0.01
Epoch 137: Train LR: 0.000045, Test LR: 0.000045, lrf: 0.01
Epoch 138: Train LR: 0.000012, Test LR: 0.000012, lrf: 0.01
Epoch 139: Train LR: 0.000021, Test LR: 0.000021, lrf: 0.01
Epoch 140: Train LR: 0.000071, Test LR: 0.000071, lrf: 0.01
Epoch 141: Train LR: 0.000159, Test LR: 0.000159, lrf: 0.01
Epoch 142: Train LR: 0.000276, Test LR: 0.000276, lrf: 0.01
Epoch 143: Train LR: 0.000412, Test LR: 0.000412, lrf: 0.01
Epoch 144: Train LR: 0.000557, Test LR: 0.000557, lrf: 0.01
Epoch 145: Train LR: 0.000697, Test LR: 0.000697, lrf: 0.01
Epoch 146: Train LR: 0.000821, Test LR: 0.000821, lrf: 0.01
Epoch 147: Train LR: 0.000917, Test LR: 0.000917, lrf: 0.01
Epoch 148: Train LR: 0.000979, Test LR: 0.000979, lrf: 0.01
Epoch 149: Train LR: 0.001000, Test LR: 0.001000, lrf: 0.01
