# Train        Test        
  343.582374   194.561096 
  202.451044   182.567505 
  180.944334   170.252533 
  169.008915   153.642227 
  164.100326   162.158386 
  154.340085   146.302155 
  149.671405   141.944824 
  145.015626   140.570114 
  141.418975   139.921494 
  138.499949   138.628204 
  137.482681   131.722427 
  137.664352   140.591751 
  137.261003   138.253372 
  136.548353   140.440155 
  135.731400   129.347427 
  135.445507   129.116516 
  136.395447   155.052811 
  137.998695   129.132202 
  133.610025   133.862274 
  132.317915   135.258469 
  134.158315   136.609177 
  133.064099   144.763733 
  135.086696   139.288895 
  130.815555   129.566483 
  126.023745   122.700897 
  123.012254   123.379494 
  119.684094   118.161598 
  116.690560   113.102257 
  113.804655   110.850044 
  113.717925   113.842094 
  110.613902   106.330894 
  109.483171   110.614403 
  108.591916   109.333488 
  109.499071   105.677429 
  110.625669   111.998451 
  110.099811   114.703720 
  108.713928   108.361412 
  114.655647   112.453560 
  114.469858   114.154968 
  114.791727   125.738457 
  116.977496   117.424377 
  121.138483   124.860085 
  117.050489   119.720795 
  117.113093   113.202423 
  115.163428   107.343117 
  114.923518   116.230629 
  111.452101   110.410187 
  111.604496   125.070854 
  109.545180   107.522896 
  107.572103   113.506973 
  105.937905   105.526337 
  103.530058   103.189522 
  104.003478   105.896683 
  104.336491   101.907715 
  103.760073   105.509758 
  103.675122   102.730148 
  107.380623   113.376183 
  106.906492   101.345779 
  107.274164   105.004333 
  108.276288   112.961082 
  108.529000   107.038589 
  113.934485   111.934052 
  109.448106   116.899231 
  117.160313   115.201210 
  117.484773   114.401489 
  113.526277   105.146713 
  112.115367   114.274368 
  109.680586    99.764793 
  107.454650   101.166992 
  105.714477   108.852386 
  104.567228   103.361916 
  103.528380   108.248863 
  100.001783   100.115814 
   98.756383   101.992630 
   97.295219    93.700645 
   97.301911   104.062027 
   98.754197   106.137024 
   99.477184   102.829262 
  100.070366   103.050346 
  100.893343   103.750244 
  103.033539   100.138412 
  104.324324   107.273186 
  107.307299   113.859245 
  108.589926   117.664436 
  106.652404   107.823395 
  106.567371   103.104744 
  109.059960   106.352333 
  109.568766   104.965454 
  109.037104   106.926437 
  104.638168   104.364479 
  104.636162   109.456612 
  101.014529    97.806091 
   99.220133   101.127884 
   97.003473    91.283310 
   95.902750    96.003036 
   94.601613    90.730400 
   94.249714    94.540680 
   93.860369    97.411713 
   94.500209   103.225357 
   95.300486    96.121117 
   98.204165    97.117203 
   98.819233    92.511047 
  100.882797   110.303482 
  105.974891   102.779137 
  101.535687   100.616173 
  106.279848   100.245750 
  102.438279   108.931305 
  101.429404    96.787605 
  100.621916    98.890251 
  104.549607   104.578964 
   99.749695    96.432922 
   97.383921    97.291473 
   97.815396    99.234680 
   94.735099    90.314133 
   93.511605    92.327110 
   91.981049    88.293823 
   90.401773    88.733856 
   89.831433    87.862267 
   89.682977    89.409225 
   90.785933    88.986298 
   90.611892    88.117393 
   91.047019    91.868805 
   95.354106    99.150642 
   93.703985    92.659386 
   95.390588    95.727119 
   97.466087   102.017792 
  100.497118    98.104309 
  100.724628   103.055504 
  104.915476   106.708160 
  103.512916    97.917015 
  102.730753   107.965309 
  102.613861    90.644630 
   96.777638    92.022568 
   95.240188    92.359367 
   94.294992    94.606010 
   93.329824    97.634529 
   91.446615    93.978302 
   89.924760    95.714783 
   89.730940    91.082016 
   90.311695    87.792374 
   90.090599    86.333641 
   90.898622    86.339455 
   95.061533    93.818108 
   94.207135    90.893379 
   92.924541    88.347382 
   97.279819    94.368820 
  100.112481   103.769516 
  103.893678   107.779442 
  104.613739   100.216286 
   98.222025    98.368141 
