# Train        Test        
    0.005908     0.001689 
    0.012523     0.036581 
    0.049425     0.082880 
    0.066434     0.103174 
    0.113536     0.117074 
    0.140791     0.161247 
    0.172561     0.188311 
    0.181588     0.187524 
    0.198919     0.216175 
    0.209334     0.206207 
    0.214061     0.210696 
    0.217250     0.213626 
    0.215684     0.213451 
    0.212842     0.197745 
    0.212108     0.207240 
    0.199576     0.224093 
    0.205531     0.148532 
    0.170326     0.208287 
    0.203927     0.214876 
    0.198361     0.227821 
    0.204172     0.146961 
    0.210769     0.215360 
    0.220737     0.234634 
    0.230404     0.231919 
    0.249205     0.229829 
    0.248858     0.252393 
    0.269214     0.251491 
    0.287281     0.279507 
    0.294412     0.276091 
    0.297717     0.292613 
    0.303833     0.279769 
    0.307887     0.293401 
    0.310073     0.297984 
    0.301110     0.284986 
    0.303156     0.285404 
    0.312058     0.270463 
    0.287959     0.271067 
    0.305384     0.262828 
    0.283325     0.264876 
    0.277686     0.247927 
    0.240540     0.229939 
    0.216516     0.260663 
    0.259466     0.257334 
    0.278150     0.280050 
    0.257898     0.252619 
    0.250032     0.277515 
    0.292316     0.286778 
    0.305890     0.299035 
    0.295011     0.290909 
    0.304645     0.305778 
    0.333077     0.306015 
    0.342531     0.306861 
    0.345575     0.319457 
    0.345650     0.313452 
    0.342778     0.316731 
    0.343810     0.295301 
    0.339484     0.309620 
    0.343614     0.310291 
    0.334215     0.297717 
    0.325490     0.302748 
    0.321915     0.303933 
    0.284737     0.238884 
