# Train        Test        
  257.420864   178.186005 
  188.465973   174.998154 
  174.001482   156.320114 
  166.155196   160.461395 
  156.561046   157.522278 
  150.540365   153.343719 
  144.758930   141.043793 
  139.818248   143.597244 
  136.167875   133.654953 
  136.081214   133.589417 
  134.136912   133.514374 
  132.651074   128.455811 
  133.738877   133.905716 
  132.636518   127.677078 
  131.869109   133.492401 
  132.779277   137.741913 
  132.673585   138.399033 
  134.534271   124.593880 
  129.821806   132.709961 
  130.700884   132.142044 
  130.527066   132.544678 
  128.094456   129.687057 
  126.581567   126.840683 
  123.102160   127.000557 
  122.724317   120.659431 
  121.328689   128.382690 
  116.868972   111.684845 
  113.993652   114.493210 
  112.956995   109.783997 
  110.350387   112.269791 
  109.585522   105.886185 
  109.619895   111.658646 
  108.219820   116.183594 
  109.321699   106.715858 
  109.815320   105.345749 
  107.965438   112.349075 
  111.369906   107.556923 
  109.932423   114.749176 
  112.477152   114.266098 
  113.992498   112.988876 
  117.851585   110.621124 
  120.596933   114.625496 
  117.362531   124.821014 
  112.692966   109.288345 
  116.171224   110.078217 
  117.634321   109.574127 
  111.139340   108.442276 
  109.117456   112.445511 
  110.592825   107.979767 
  107.459980   107.402336 
  104.515804   103.129250 
  101.905139    97.964653 
  102.829428   101.070236 
  100.988768   100.717834 
  102.796143   108.957764 
  102.256448   101.158806 
  103.682862   111.380783 
  103.233972   101.290611 
  104.344129   107.020157 
  104.965598   103.987679 
  106.117804   106.685608 
  111.634110   120.896721 
