# Train        Test        
  270.150801   178.219040 
  187.412809   224.753586 
  190.693527   225.527084 
  192.335561   213.252884 
  180.372184   183.787170 
  173.158496   172.977325 
  165.325766   157.382095 
  161.276152   153.349533 
  159.444231   156.067841 
  156.111711   138.240143 
  159.829869   147.563492 
  155.573580   159.369980 
  156.785625   136.472855 
  153.958250   172.159317 
  159.786841   144.911560 
  155.479631   147.441086 
  159.368808   174.029709 
  161.248062   158.618790 
  159.499313   139.097778 
  166.325217   174.756836 
  155.233334   147.327393 
  156.446546   146.244095 
  153.356921   163.815720 
  155.554472   168.222168 
  154.713941   145.774673 
  144.802040   130.332565 
  143.995557   148.883621 
  143.384960   140.339569 
  138.255360   142.523895 
  136.402566   115.710938 
  131.652108   128.013885 
  131.435986   124.607430 
  129.997181   120.461502 
  128.321721   116.082817 
  127.882762   119.232948 
  130.566625   135.018524 
  132.212633   138.362198 
  131.536269   133.307251 
  136.301428   131.329147 
  137.847783   134.503647 
  139.983716   141.034485 
  134.575112   129.968719 
  140.866088   142.646759 
  137.048772   129.158966 
  132.934531   127.188797 
  131.170079   130.116089 
  129.775090   127.252846 
  127.397390   155.559357 
  123.208901   124.221573 
  121.545067   121.453209 
  117.918788   113.149490 
  117.786955   109.022308 
  114.860905   108.211182 
  116.364408   115.427078 
  118.369968   119.094597 
  115.259896   113.851967 
  117.418591   115.191124 
  115.776973   112.755447 
  118.531234   114.124664 
  117.990140   137.052765 
  120.314461   126.670235 
  125.314170   130.406082 
  122.632095   129.639404 
  121.896412   123.343796 
  124.463147   127.359581 
  125.793199   126.897270 
  124.685805   121.413628 
  120.467498   121.497055 
  121.353301   130.195679 
  118.155516   130.009171 
  120.176846   114.779762 
  114.690088   112.462585 
  111.022982   121.251419 
  109.526243   102.365898 
  108.791115   110.805145 
