# Train        Test        
    0.006023     0.000000 
    0.000019     0.000009 
    0.003861     0.001255 
    0.008630     0.000014 
    0.022033     0.029961 
    0.052263     0.045046 
    0.058386     0.065020 
    0.088715     0.078387 
    0.115437     0.111806 
    0.119577     0.117774 
    0.112475     0.131928 
    0.120824     0.130847 
    0.129178     0.121118 
    0.124926     0.142983 
    0.124099     0.121627 
    0.118242     0.096179 
    0.106385     0.141821 
    0.122314     0.086228 
    0.100924     0.148969 
    0.104175     0.135417 
    0.132479     0.144327 
    0.146616     0.166517 
    0.156967     0.156304 
    0.163747     0.162814 
    0.170897     0.179655 
