Event Rate: [0.49, 0.20, 0.12, 0.04, 0.04, 0.05, 0.06, 0.07, 0.08, 0.09, 0.49, 0.55]
Event Rate: [0.49, 0.21, 0.12, 0.04, 0.04, 0.05, 0.06, 0.07, 0.08, 0.09, 0.50, 0.55]
Event Rate: [0.33, 0.15, 0.09, 0.03, 0.03, 0.04, 0.05, 0.06, 0.06, 0.08, 0.47, 0.53]
Event Rate: [0.37, 0.17, 0.10, 0.03, 0.04, 0.04, 0.05, 0.06, 0.07, 0.08, 0.48, 0.54]
Event Rate: [0.29, 0.13, 0.07, 0.03, 0.03, 0.03, 0.04, 0.05, 0.06, 0.07, 0.45, 0.53]
Event Rate: [0.36, 0.16, 0.10, 0.03, 0.03, 0.04, 0.05, 0.06, 0.07, 0.08, 0.48, 0.52]
Event Rate: [0.39, 0.18, 0.12, 0.04, 0.05, 0.06, 0.07, 0.09, 0.10, 0.11, 0.48, 0.50]
Event Rate: [0.38, 0.18, 0.11, 0.04, 0.05, 0.06, 0.08, 0.10, 0.11, 0.14, 0.47, 0.50]
Event Rate: [0.32, 0.13, 0.08, 0.03, 0.04, 0.05, 0.07, 0.09, 0.11, 0.13, 0.43, 0.50]
Event Rate: [0.38, 0.18, 0.12, 0.05, 0.06, 0.08, 0.10, 0.14, 0.16, 0.18, 0.47, 0.48]
Event Rate: [0.30, 0.13, 0.08, 0.03, 0.04, 0.05, 0.07, 0.10, 0.12, 0.13, 0.43, 0.51]
Event Rate: [0.38, 0.16, 0.11, 0.05, 0.05, 0.07, 0.09, 0.12, 0.14, 0.16, 0.48, 0.53]
Event Rate: [0.26, 0.11, 0.07, 0.03, 0.03, 0.04, 0.05, 0.07, 0.08, 0.09, 0.42, 0.55]
Event Rate: [0.27, 0.12, 0.08, 0.03, 0.03, 0.04, 0.06, 0.07, 0.08, 0.09, 0.37, 0.54]
Event Rate: [0.35, 0.16, 0.10, 0.04, 0.05, 0.06, 0.08, 0.10, 0.11, 0.13, 0.48, 0.54]
Event Rate: [0.35, 0.16, 0.10, 0.04, 0.04, 0.06, 0.08, 0.11, 0.12, 0.14, 0.47, 0.52]
Event Rate: [0.36, 0.17, 0.10, 0.04, 0.04, 0.05, 0.08, 0.10, 0.12, 0.13, 0.47, 0.52]
Event Rate: [0.39, 0.18, 0.12, 0.04, 0.05, 0.06, 0.08, 0.11, 0.12, 0.14, 0.47, 0.50]
Event Rate: [0.20, 0.09, 0.05, 0.02, 0.02, 0.03, 0.04, 0.06, 0.07, 0.07, 0.35, 0.48]
Event Rate: [0.37, 0.17, 0.10, 0.03, 0.04, 0.05, 0.06, 0.09, 0.10, 0.12, 0.49, 0.47]
Event Rate: [0.36, 0.16, 0.09, 0.03, 0.03, 0.04, 0.06, 0.08, 0.09, 0.11, 0.49, 0.47]
Event Rate: [0.27, 0.12, 0.07, 0.02, 0.02, 0.03, 0.04, 0.06, 0.07, 0.08, 0.41, 0.47]
