# Train        Test        
  282.075937   200.234344 
  221.966263   223.066360 
  204.503472   193.451172 
  178.582488   173.987122 
  169.799868   162.870850 
  162.402754   170.124649 
  152.330066   143.800583 
  148.791904   152.059830 
  144.066328   141.408188 
  142.622322   144.806488 
  141.113133   151.513931 
  139.795977   144.599899 
  140.709481   141.404312 
  139.580383   137.729111 
  138.946220   141.929398 
  138.399204   138.891739 
  138.658955   139.435028 
  135.334257   145.856827 
  135.994794   143.465988 
  135.578808   136.352692 
  132.117207   124.699677 
  131.448995   130.721359 
  129.098013   125.823364 
  128.287274   121.425583 
  123.458256   122.256851 
  122.680794   127.670830 
  118.765606   119.967010 
  119.063865   121.100121 
  116.835351   111.081726 
  113.624119   109.369385 
  110.804144   109.470261 
  109.907852   109.243027 
  110.737494   114.399010 
  111.658246   107.267914 
  111.443390   119.783890 
  110.110697   117.006401 
  112.223998   115.334084 
  114.351954   117.231262 
  113.437398   113.852196 
  114.919857   115.319641 
  114.290736   119.184120 
  118.850836   122.323753 
  118.286028   116.722923 
  117.033577   117.246246 
  115.800564   120.762749 
  114.537589   111.651192 
  111.529476   115.924423 
  110.055108   113.460800 
  107.910686   111.380295 
  105.710634   104.204422 
  103.808426   103.287155 
  101.806719   101.859802 
  100.993132    95.815384 
  100.503810    97.815697 
   99.595671   104.398827 
  100.434155    96.556717 
  100.398944   106.780930 
  100.917677   102.308235 
  103.059651   105.317650 
  105.580972   103.388184 
  104.116249   103.444328 
  106.346821   111.820061 
  106.856845   107.516045 
  107.772411   104.683289 
  108.863879   109.071739 
  109.638664   110.493629 
  108.633443   109.405846 
  105.838547   102.503136 
  105.495854   102.127457 
  103.506407   102.100296 
  100.650510    98.764114 
   98.540394    97.620979 
   97.151411    97.157265 
   95.913146    99.193184 
   94.690222    95.670441 
   93.671886    89.268845 
   94.426160    96.940468 
   94.657152    94.658508 
   95.639862    93.239983 
   95.416209    92.944901 
   97.392738    97.058601 
  100.087425   104.917747 
   98.825316    98.232269 
  101.508826   104.918037 
  101.296442    95.969231 
  102.718129   103.386673 
  103.564671   102.209671 
  102.444545    96.734428 
  101.373868   102.699150 
   99.458268    98.008766 
   98.476284   104.051285 
   98.797274    96.485527 
   93.924847    91.834831 
   93.326051    94.600594 
   91.695921    88.962578 
   89.656755    88.675041 
   90.456379    93.423218 
   89.228947    93.271133 
   90.760377    89.161194 
   90.614858    88.451973 
   90.792093    86.387314 
   93.422820    94.691498 
   94.498624    93.062271 
   95.568277    97.110672 
   98.198008    98.260933 
   99.111509    98.201157 
   98.277998   102.163795 
   98.509753    99.716873 
   99.074845   102.454208 
   99.565432    96.854767 
   99.575581    97.195992 
   96.793719    96.361328 
   93.789302    92.575485 
   92.420135    94.649162 
   90.377999    88.545204 
   89.065489    92.847031 
   86.989488    87.534943 
   86.453900    85.359161 
   87.423714    85.849075 
   87.802364    90.140671 
   90.021037    86.153099 
   89.142624    91.231148 
   91.242808    88.963264 
   92.155357    93.054016 
   93.268889    92.830681 
   94.098321    95.021790 
   95.322090    96.656227 
   96.239676   100.516998 
   98.024227   107.172195 
   97.850033    96.743347 
   96.165252   100.935745 
   94.717732    94.735283 
   93.585894    93.783379 
   93.300862    88.778687 
   91.036002    87.960663 
   90.089067    86.274559 
   88.328847    86.389992 
   85.973202    88.574379 
   85.426309    86.312019 
   85.026245    81.906769 
   85.380454    89.343231 
   86.879685    85.561546 
   87.302567    89.797226 
   88.719836    91.318619 
   88.621931    88.391258 
